id_site,site_name,category_site,total_revenue,vlr_subs,churn,rgu_ga_inj,sc_m0,sc_m0_hvc,total_outlet,cluster
28SNS063,PACELLEKANG_AG,Addressable - B.A.U,53398994,846,117,70,80,46,8,0
28SNS064,BONE_BAJENG_AG,Addressable - B.A.U,37224105,728,345,193,183,73,5,0
28SNS065,DAM_BILIBILI_AG,Addressable - B.A.U,54398747,1067,172,93,101,52,6,0
28SNS066,PANYANGKALANG2_AG,Addressable - B.A.U,45531891,1618,450,125,315,77,3,0
28SNS068,BONTONOMPO_AG,Addressable - B.A.U,84654286,1446,385,256,250,121,9,0
28SNS078,VILLA_SAMATA_SNS_IB,Addressable - B.A.U,99754547,1206,513,185,477,382,2,0
28SNS080,ASOKA_BATANGKALUKU_SNS_AG,Addressable - B.A.U,70400718,1230,301,231,182,113,11,0
28SNS081,MANGKA_BOMBONG_SNS_AG,Addressable - B.A.U,28785624,409,100,87,66,42,17,0
28SNS082,ANUGERAH_TERATAI_SNS_AG,Addressable - B.A.U,55964240,570,253,84,192,139,4,0
28SNS083,TAMARUNANG_SNS_AG,Addressable - B.A.U,26183028,373,88,45,56,33,9,0
28SNS084,BONTOMAJANNANG_SNS_AG,Addressable - B.A.U,60451375,873,237,131,145,77,18,0
28SNS085,TPBALANG_SOMBA_SNS_AG,Addressable - B.A.U,64814250,987,261,121,140,88,16,0
28SNS086,PELITA_TAMAN_SNS_AG,Addressable - B.A.U,49712546,905,148,143,153,75,8,0
28SNS087,TAMA_RUNANG_SNS_AG,Addressable - B.A.U,68598528,1151,292,250,265,166,5,0
28SNS088,MAWANG_BONTORAMBA_SNS_IB,Addressable - B.A.U,66432997,967,190,165,222,142,9,0
28SNS089,ABDLRASYID_LURANG_SNS_AG,Addressable - B.A.U,78074200,1230,349,373,254,163,43,0
28SNS090,TMRUNANG_SOMBA_SNS_AG,Addressable - B.A.U,38728351,424,126,84,126,86,3,0
28SNS091,LORONG_BONTO_SNS_AG,Addressable - B.A.U,43830545,739,178,106,117,71,39,0
28SNS092,PANGKA_BINANG_SNS_AG,Addressable - B.A.U,52188284,1225,215,189,139,70,12,0
28SNS093,BUDAYA_JENET_SNS_AG,Addressable - B.A.U,62200259,1101,278,135,174,119,11,0
28SNS095,PANDANG2_SNS_AG,Addressable - B.A.U,49769264,920,256,100,122,52,10,0
28SNS098,MATA_ALLO_SNS_AG,Addressable - B.A.U,50673129,942,169,259,156,53,13,0
28SNS099,TUBAJENG_SNS_AG,Addressable - B.A.U,53408221,1044,317,190,255,112,4,0
28SNS100,PARANGGI_SNS_AG,Addressable - B.A.U,44062106,808,175,91,108,65,7,0
28SNS101,JLCOLLENG_MALINO_SNS_AG,Addressable - B.A.U,41261030,1122,85,100,109,63,12,0
28SNS102,LEMPANGANG_SNS_AG,Addressable - B.A.U,42762048,588,205,108,109,59,11,0
28SNS103,KALEBAJENG_SNS_PL,Addressable - B.A.U,41068225,700,177,112,137,72,3,0
28SNS104,TIMBUSENG_SNS_AG,Addressable - B.A.U,40314148,549,144,85,119,79,7,0
28SNS105,BUNGAEJAYA_SNS_IB,Addressable - New Site,35461679,743,120,279,88,36,5,0
28SNS106,TOMBOLO_OPU_SNS_AG,Addressable - New Site,43182833,771,193,189,122,69,3,0
28SNS107,BONTOSUNGGU_BAJENG_SNS_IB,Addressable - New Site,39974124,696,187,214,136,62,7,0
28SNS108,ROMANGLASA_SNS_PL,Addressable - New Site,84001379,1270,574,290,357,189,4,0
28SNS109,BONTOLANGKASASEL_SNS_PL,Addressable - New Site,65094465,1056,305,256,267,142,9,0
28SNS110,KALEBAREMBENG_SNS_PL,Addressable - New Site,50170989,861,336,317,357,172,5,0
28SNS111,TETEBATU_SNS_IB,Addressable - New Site,60061663,979,135,159,116,69,4,0
28SNS112,KANJILO_BAROMBONG_SNS_PL,Addressable - New Site,86069506,1183,199,135,165,75,12,0
28SNS113,MARADEKAYA_BAJENG_SNS_PL,Addressable - New Site,42732512,647,155,142,171,97,7,0
28SNS114,LEMBANG_PARANG_SNS_IB,Addressable - New Site,70496128,1215,183,133,193,116,16,0
28SNS115,JENEMADINGING_SNS_PL,Addressable - New Site,70462887,1262,148,127,178,113,4,0
28SNS116,ROMANG_LOMPOA_SNS_IB,Addressable - New Site,80778327,1115,5,137,440,336,4,0
28SNS117,TANRARA_SNS_PL,Addressable - New Site,81583490,1894,471,373,673,363,10,0
28SNS118,SEWANG_GENTUNGANG_SNS_PL,Addressable - New Site,38503957,685,554,165,227,99,6,0
28SNS119,KANDES_MANJAPAI_SNS_PL,Addressable - New Site,38891660,662,209,143,176,103,8,0
28SNS120,ARZA_JULUBORI_SNS_PL,Addressable - New Site,43945001,638,111,80,100,29,8,0
28SNS121,BONTOLANGKASA_UTARA_SNS_AG,Addressable - New Site,45516609,862,143,225,243,61,6,0
28SNS122,PARAIKATTE_SNS_AG,Addressable - New Site,24390594,380,74,47,50,26,10,0
28TKA001,LENGKESE,Addressable - B.A.U,87505722,1557,303,430,295,186,17,0
28TKA003,TAKALAR,Addressable - B.A.U,141699632,2676,585,313,283,143,25,0
28TKA004,GALESONG_PL,Addressable - B.A.U,178072206,3196,3208,1334,1421,702,11,1
28TKA008,BAJENG1_AG,Addressable - B.A.U,65249621,1219,237,187,234,118,5,0
28TKA009,DESA_BATU_BATU_TB,Addressable - B.A.U,95229893,1742,360,516,224,129,15,0
28TKA010,TAMASAJO_AG,Addressable - Upgrade Site Monetize,102887019,1533,320,166,198,125,9,0
28TKA011,PG_TAKALAR_ST,Addressable - B.A.U,49470768,735,160,72,74,41,3,0
28TKA012,BONTOMARANNU_PL,Addressable - B.A.U,58416022,1374,508,201,386,212,7,0
28TKA013,SANROBONE_PL,Addressable - B.A.U,71132883,1568,257,196,240,112,10,0
28TKA014,PATANI_PL,Addressable - B.A.U,71682305,1552,249,218,200,104,21,0
28TKA015,MANGGARABOMBANG_AG,Addressable - B.A.U,23694825,552,116,87,116,53,7,0
